,population,code_commune,lat,long,area,accident_num,length,ACCOTEMENT REVETU HORS CVCB,AMENAGEMENT MIXTES PIETON VELO HORS VOIE VERTE,AUTRE,BANDE CYCLABLE,CHAUSSEE A VOIE CENTRALE BANALISEE,COULOIR BUS+VELO,DOUBLE SENS CYCLABLE BANDE,DOUBLE SENS CYCLABLE NON MATERIALISE,DOUBLE SENS CYCLABLE PISTE,GOULOTTE,PISTE CYCLABLE,VELO RUE,VOIE VERTE
9966,1523,82038,600876,6349530,9770,0.0,11503.069381526568,0.0,11432.297806608502,70.7715749180657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9967,3111,34052,703204,6247144,4052,0.0,4611.324828769792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.16284214366925,0.0,0.0,4231.161986626123,0.0,0.0
9968,6701,82037,581956,6341684,4595,0.0,557.8557657783534,0.0,0.0,0.0,259.9542826432073,0.0,0.0,0.0,0.0,0.0,0.0,297.9014831351461,0.0,0.0
9969,2675,81288,628246,6259774,4184,0.0,28446.96964442236,0.0,1147.5503600476109,25161.292545288456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138.1267390862945
9970,280,30309,782741,6308211,631,0.0,3573.637873007504,0.0,3573.637873007504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9971,155,65058,483554,6191233,2696,0.0,80.92202182868061,0.0,0.0,80.92202182868061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9972,1443,81115,670640,6264722,2382,0.0,7857.072851501452,0.0,194.44939804287117,25.93404334891009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7636.6894101096705
9973,242,34049,709386,6287621,1311,0.0,293.53591485902035,0.0,293.53591485902035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9974,284,81055,625041,6257940,779,0.0,13921.327938408696,0.0,0.0,13921.327938408696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9975,1224,46297,562429,6400690,2969,0.0,240.40381501438503,0.0,0.0,0.0,240.40381501438503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9976,207,34342,759408,6294408,1617,0.0,4597.694910942645,0.0,3760.036959492601,0.0,837.6579514500443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9977,5978,30141,832733,6335769,3412,0.0,10043.066212143538,0.0,0.0,1070.969934382388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8972.096277761151,0.0,0.0
9978,597,65218,486019,6214954,3552,0.0,5903.905817518438,0.0,5903.905817518438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9979,234,12249,675416,6297841,2601,0.0,114.5407067915802,0.0,0.0,114.5407067915802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9980,3212,34147,717670,6264700,2085,0.0,522.3323439767523,0.0,0.0,0.0,522.3323439767523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9981,9341,31451,618418,6264332,3566,0.0,25316.868851223764,0.0,1625.064641461374,104.70622191336386,2029.973193844749,0.0,0.0,996.428203819085,3062.078884952048,0.0,0.0,16377.062879439318,0.0,1121.5548257938294
